Ux,Uy,Uz,TA_1_1_1,T_SONIC_corr,PA,H2O_density,CO2_density
-0.3309509,0.8789386,-0.006782195,-12.19995,-11.00922,83.73116,1.463914,701.1483
-0.3335983,0.8723972,-0.006894849,-12.19995,-11.05197,83.73288,1.460351,701.2803
-0.3322784,0.8743689,-0.00291528,-12.19995,-11.00562,83.73144,1.46136,700.9542
-0.3345869,0.872302,-0.003628683,-12.19995,-11.06711,83.73257,1.461703,701.3503
-0.332856,0.8822936,-0.003103349,-12.19995,-11.07117,83.73206,1.460036,701.3643
-0.3274637,0.8804769,-0.003476255,-12.19995,-11.06781,83.73232,1.457482,701.3038
-0.3352413,0.891118,-0.00617271,-12.19995,-11.04395,83.73174,1.461574,701.2219
-0.3352706,0.8867927,-0.007973826,-12.19995,-11.03625,83.73153,1.462376,701.5598
-0.3292631,0.8905244,-0.005843631,-12.20026,-11.07068,83.73183,1.459188,701.1674
-0.3343187,0.8911057,-0.009183205,-12.20026,-11.06424,83.73194,1.463377,701.4532
-0.3308956,0.8908988,-0.009362966,-12.20026,-11.05585,83.73004,1.457416,701.6576
-0.3224061,0.8859704,-0.007738035,-12.20026,-11.04846,83.73272,1.456107,701.3817
-0.3215249,0.8860574,-0.006970115,-12.20026,-11.06149,83.73208,1.464206,701.4379
-0.3200997,0.8830895,-0.006446268,-12.20026,-10.99527,83.7311,1.455812,700.9325
-0.3321874,0.8868345,-0.008981251,-12.20026,-11.05145,83.73161,1.461616,701.4033
-0.3335167,0.8848397,-0.008726346,-12.20026,-10.99176,83.7318,1.460861,700.8205
-0.3284126,0.8795743,-0.00763125,-12.20026,-11.03329,83.733,1.456023,701.438
-0.3300465,0.8781052,-0.00856112,-12.20026,-11.01395,83.73208,1.460562,701.4472
-0.329699,0.8761368,-0.008965268,-12.20026,-11.03018,83.73215,1.462342,700.9832
-0.3286318,0.8760835,-0.01048526,-12.20026,-11.00516,83.73274,1.464736,701.4555
-0.3276441,0.8748941,-0.01156593,-12.20026,-10.96878,83.73248,1.461577,700.7288
-0.317515,0.8711336,-0.01013976,-12.20026,-10.97302,83.73433,1.464557,700.8807
-0.3232718,0.8759025,-0.01245996,-12.20026,-10.953,83.73255,1.464867,700.9855
